Symbol,Date,Exchange,TOD,Volume
BHP,20140902,NASDAQ OMX BX,Regular,16934
BHP,20140902,NASDAQ OMX BX,Open,0
BHP,20140902,NASDAQ OMX BX,After-Hours,0
BHP,20140902,NASDAQ OMX BX,Close,0
BHP,20140902,NYSE Arca SM,Regular,118705
BHP,20140902,NYSE Arca SM,Open,4
BHP,20140902,NYSE Arca SM,After-Hours,11150
BHP,20140902,NYSE Arca SM,Close,100
BHP,20140902,FINRA,Regular,331672
BHP,20140902,FINRA,Open,0
BHP,20140902,FINRA,After-Hours,0
BHP,20140902,FINRA,Close,0
BHP,20140902,BATS,Regular,162732
BHP,20140902,BATS,Open,0
BHP,20140902,BATS,After-Hours,409
BHP,20140902,BATS,Close,0
BHP,20140902,Direct Edge X,Regular,48366
BHP,20140902,Direct Edge X,Open,0
BHP,20140902,Direct Edge X,After-Hours,1070
BHP,20140902,Direct Edge X,Close,0
BHP,20140902,NASDAQ OMX,Regular,171709
BHP,20140902,NASDAQ OMX,Open,72
BHP,20140902,NASDAQ OMX,After-Hours,100
BHP,20140902,NASDAQ OMX,Close,100
BHP,20140902,NASDAQ OMX PSX,Regular,2344
BHP,20140902,NASDAQ OMX PSX,Open,0
BHP,20140902,NASDAQ OMX PSX,After-Hours,0
BHP,20140902,NASDAQ OMX PSX,Close,0
BHP,20140902,Direct Edge A,Regular,22397
BHP,20140902,Direct Edge A,Open,0
BHP,20140902,Direct Edge A,After-Hours,0
BHP,20140902,Direct Edge A,Close,0
BHP,20140902,NYSE,Regular,268307
BHP,20140902,NYSE,Open,18295
BHP,20140902,NYSE,After-Hours,0
BHP,20140902,NYSE,Close,32721
BHP,20140902,BATS Y,Regular,24503
BHP,20140902,BATS Y,Open,0
BHP,20140902,BATS Y,After-Hours,0
BHP,20140902,BATS Y,Close,0
BHP,20140730,NASDAQ OMX BX,Regular,36558
BHP,20140730,NASDAQ OMX BX,Open,0
BHP,20140730,NASDAQ OMX BX,After-Hours,0
BHP,20140730,NASDAQ OMX BX,Close,0
BHP,20140730,NYSE Arca SM,Regular,132951
BHP,20140730,NYSE Arca SM,Open,100
BHP,20140730,NYSE Arca SM,After-Hours,22865
BHP,20140730,NYSE Arca SM,Close,700
BHP,20140730,FINRA,Regular,457740
BHP,20140730,FINRA,Open,0
BHP,20140730,FINRA,After-Hours,0
BHP,20140730,FINRA,Close,0
BHP,20140730,BATS,Regular,138946
BHP,20140730,BATS,Open,0
BHP,20140730,BATS,After-Hours,700
BHP,20140730,BATS,Close,0
BHP,20140730,Direct Edge X,Regular,94874
BHP,20140730,Direct Edge X,Open,0
BHP,20140730,Direct Edge X,After-Hours,0
BHP,20140730,Direct Edge X,Close,0
BHP,20140730,NASDAQ OMX,Regular,352577
BHP,20140730,NASDAQ OMX,Open,33
BHP,20140730,NASDAQ OMX,After-Hours,800
BHP,20140730,NASDAQ OMX,Close,2
BHP,20140730,NASDAQ OMX PSX,Regular,3500
BHP,20140730,NASDAQ OMX PSX,Open,0
BHP,20140730,NASDAQ OMX PSX,After-Hours,0
BHP,20140730,NASDAQ OMX PSX,Close,0
BHP,20140730,Direct Edge A,Regular,36603
BHP,20140730,Direct Edge A,Open,0
BHP,20140730,Direct Edge A,After-Hours,0
BHP,20140730,Direct Edge A,Close,0
BHP,20140730,NYSE,Regular,497210
BHP,20140730,NYSE,Open,15375
BHP,20140730,NYSE,After-Hours,0
BHP,20140730,NYSE,Close,19449
BHP,20140730,BATS Y,Regular,40293
BHP,20140730,BATS Y,Open,0
BHP,20140730,BATS Y,After-Hours,0
BHP,20140730,BATS Y,Close,0
BHP,20140925,NASDAQ OMX BX,Regular,51283
BHP,20140925,NASDAQ OMX BX,Open,0
BHP,20140925,NASDAQ OMX BX,After-Hours,0
BHP,20140925,NASDAQ OMX BX,Close,0
BHP,20140925,NYSE Arca SM,Regular,322194
BHP,20140925,NYSE Arca SM,Open,60
BHP,20140925,NYSE Arca SM,After-Hours,112996
BHP,20140925,NYSE Arca SM,Close,2400
BHP,20140925,FINRA,Regular,2099666
BHP,20140925,FINRA,Open,0
BHP,20140925,FINRA,After-Hours,0
BHP,20140925,FINRA,Close,0
BHP,20140925,BATS,Regular,532354
BHP,20140925,BATS,Open,0
BHP,20140925,BATS,After-Hours,400
BHP,20140925,BATS,Close,0
BHP,20140925,Direct Edge X,Regular,177033
BHP,20140925,Direct Edge X,Open,0
BHP,20140925,Direct Edge X,After-Hours,5100
BHP,20140925,Direct Edge X,Close,0
BHP,20140925,NASDAQ OMX,Regular,846159
BHP,20140925,NASDAQ OMX,Open,4
BHP,20140925,NASDAQ OMX,After-Hours,1200
BHP,20140925,NASDAQ OMX,Close,100
BHP,20140925,NASDAQ OMX PSX,Regular,7674
BHP,20140925,NASDAQ OMX PSX,Open,0
BHP,20140925,NASDAQ OMX PSX,After-Hours,0
BHP,20140925,NASDAQ OMX PSX,Close,0
BHP,20140925,Direct Edge A,Regular,163061
BHP,20140925,Direct Edge A,Open,0
BHP,20140925,Direct Edge A,After-Hours,0
BHP,20140925,Direct Edge A,Close,0
BHP,20140925,Chicago,Regular,4840
BHP,20140925,Chicago,Open,0
BHP,20140925,Chicago,After-Hours,0
BHP,20140925,Chicago,Close,0
BHP,20140925,NYSE,Regular,671131
BHP,20140925,NYSE,Open,45961
BHP,20140925,NYSE,After-Hours,0
BHP,20140925,NYSE,Close,60686
BHP,20140925,BATS Y,Regular,96988
BHP,20140925,BATS Y,Open,0
BHP,20140925,BATS Y,After-Hours,0
BHP,20140925,BATS Y,Close,0
BHP,20140219,NYSE Arca SM,Regular,202904
BHP,20140219,NYSE Arca SM,Open,100
BHP,20140219,NYSE Arca SM,After-Hours,12685
BHP,20140219,NYSE Arca SM,Close,100
BHP,20140219,FINRA,Regular,334873
BHP,20140219,FINRA,Open,0
BHP,20140219,FINRA,After-Hours,0
BHP,20140219,FINRA,Close,0
BHP,20140219,BATS,Regular,147133
BHP,20140219,BATS,Open,0
BHP,20140219,BATS,After-Hours,0
BHP,20140219,BATS,Close,0
BHP,20140219,Direct Edge X,Regular,83983
BHP,20140219,Direct Edge X,Open,0
BHP,20140219,Direct Edge X,After-Hours,0
BHP,20140219,Direct Edge X,Close,0
BHP,20140219,NASDAQ OMX,Regular,151901
BHP,20140219,NASDAQ OMX,Open,200
BHP,20140219,NASDAQ OMX,After-Hours,107
BHP,20140219,NASDAQ OMX,Close,9
BHP,20140219,Direct Edge A,Regular,74712
BHP,20140219,Direct Edge A,Open,0
BHP,20140219,Direct Edge A,After-Hours,0
BHP,20140219,Direct Edge A,Close,0
BHP,20140219,CBOE,Regular,1234
BHP,20140219,CBOE,Open,0
BHP,20140219,CBOE,After-Hours,0
BHP,20140219,CBOE,Close,0
BHP,20140219,NYSE,Regular,457762
BHP,20140219,NYSE,Open,34618
BHP,20140219,NYSE,After-Hours,0
BHP,20140219,NYSE,Close,17453
BHP,20140219,BATS Y,Regular,29795
BHP,20140219,BATS Y,Open,0
BHP,20140219,BATS Y,After-Hours,0
BHP,20140219,BATS Y,Close,0
BHP,20140219,NASDAQ OMX BX,Regular,52779
BHP,20140219,NASDAQ OMX BX,Open,0
BHP,20140219,NASDAQ OMX BX,After-Hours,0
BHP,20140219,NASDAQ OMX BX,Close,0
BHP,20140219,NASDAQ OMX PSX,Regular,4960
BHP,20140219,NASDAQ OMX PSX,Open,0
BHP,20140219,NASDAQ OMX PSX,After-Hours,0
BHP,20140219,NASDAQ OMX PSX,Close,0
BHP,20140219,National,Regular,2200
BHP,20140219,National,Open,0
BHP,20140219,National,After-Hours,0
BHP,20140219,National,Close,0
BHP,20140312,NYSE Arca SM,Regular,201417
BHP,20140312,NYSE Arca SM,Open,100
BHP,20140312,NYSE Arca SM,After-Hours,60873
BHP,20140312,NYSE Arca SM,Close,100
BHP,20140312,FINRA,Regular,789131
BHP,20140312,FINRA,Open,0
BHP,20140312,FINRA,After-Hours,0
BHP,20140312,FINRA,Close,0
BHP,20140312,BATS,Regular,76770
BHP,20140312,BATS,Open,0
BHP,20140312,BATS,After-Hours,0
BHP,20140312,BATS,Close,0
BHP,20140312,Direct Edge X,Regular,84252
BHP,20140312,Direct Edge X,Open,0
BHP,20140312,Direct Edge X,After-Hours,2620
BHP,20140312,Direct Edge X,Close,0
BHP,20140312,NASDAQ OMX,Regular,158335
BHP,20140312,NASDAQ OMX,Open,100
BHP,20140312,NASDAQ OMX,After-Hours,900
BHP,20140312,NASDAQ OMX,Close,100
BHP,20140312,Direct Edge A,Regular,62760
BHP,20140312,Direct Edge A,Open,0
BHP,20140312,Direct Edge A,After-Hours,0
BHP,20140312,Direct Edge A,Close,0
BHP,20140312,NYSE,Regular,329783
BHP,20140312,NYSE,Open,29531
BHP,20140312,NYSE,After-Hours,0
BHP,20140312,NYSE,Close,29567
BHP,20140312,BATS Y,Regular,32225
BHP,20140312,BATS Y,Open,0
BHP,20140312,BATS Y,After-Hours,0
BHP,20140312,BATS Y,Close,0
BHP,20140312,NASDAQ OMX PSX,Regular,12786
BHP,20140312,NASDAQ OMX PSX,Open,0
BHP,20140312,NASDAQ OMX PSX,After-Hours,0
BHP,20140312,NASDAQ OMX PSX,Close,0
BHP,20140312,Chicago,Regular,23600
BHP,20140312,Chicago,Open,0
BHP,20140312,Chicago,After-Hours,0
BHP,20140312,Chicago,Close,0
BHP,20140312,National,Regular,608
BHP,20140312,National,Open,0
BHP,20140312,National,After-Hours,0
BHP,20140312,National,Close,0
BHP,20140312,NASDAQ OMX BX,Regular,35310
BHP,20140312,NASDAQ OMX BX,Open,0
BHP,20140312,NASDAQ OMX BX,After-Hours,0
BHP,20140312,NASDAQ OMX BX,Close,0
BHP,20140319,NYSE Arca SM,Regular,204053
BHP,20140319,NYSE Arca SM,Open,40
BHP,20140319,NYSE Arca SM,After-Hours,16942
BHP,20140319,NYSE Arca SM,Close,1778
BHP,20140319,FINRA,Regular,1116729
BHP,20140319,FINRA,Open,0
BHP,20140319,FINRA,After-Hours,0
BHP,20140319,FINRA,Close,0
BHP,20140319,BATS,Regular,578623
BHP,20140319,BATS,Open,0
BHP,20140319,BATS,After-Hours,0
BHP,20140319,BATS,Close,0
BHP,20140319,Direct Edge X,Regular,105873
BHP,20140319,Direct Edge X,Open,0
BHP,20140319,Direct Edge X,After-Hours,2200
BHP,20140319,Direct Edge X,Close,0
BHP,20140319,NASDAQ OMX,Regular,215017
BHP,20140319,NASDAQ OMX,Open,100
BHP,20140319,NASDAQ OMX,After-Hours,0
BHP,20140319,NASDAQ OMX,Close,69
BHP,20140319,Direct Edge A,Regular,103669
BHP,20140319,Direct Edge A,Open,0
BHP,20140319,Direct Edge A,After-Hours,0
BHP,20140319,Direct Edge A,Close,0
BHP,20140319,NYSE,Regular,483727
BHP,20140319,NYSE,Open,30154
BHP,20140319,NYSE,After-Hours,0
BHP,20140319,NYSE,Close,35792
BHP,20140319,BATS Y,Regular,39045
BHP,20140319,BATS Y,Open,0
BHP,20140319,BATS Y,After-Hours,0
BHP,20140319,BATS Y,Close,0
BHP,20140319,NASDAQ OMX PSX,Regular,20176
BHP,20140319,NASDAQ OMX PSX,Open,0
BHP,20140319,NASDAQ OMX PSX,After-Hours,0
BHP,20140319,NASDAQ OMX PSX,Close,0
BHP,20140319,Chicago,Regular,4700
BHP,20140319,Chicago,Open,0
BHP,20140319,Chicago,After-Hours,0
BHP,20140319,Chicago,Close,0
BHP,20140319,National,Regular,600
BHP,20140319,National,Open,0
BHP,20140319,National,After-Hours,0
BHP,20140319,National,Close,0
BHP,20140319,NASDAQ OMX BX,Regular,34515
BHP,20140319,NASDAQ OMX BX,Open,0
BHP,20140319,NASDAQ OMX BX,After-Hours,0
BHP,20140319,NASDAQ OMX BX,Close,0
BHP,20140828,NASDAQ OMX PSX,Regular,2659
BHP,20140828,NASDAQ OMX PSX,Open,0
BHP,20140828,NASDAQ OMX PSX,After-Hours,0
BHP,20140828,NASDAQ OMX PSX,Close,0
BHP,20140828,BATS Y,Regular,41151
BHP,20140828,BATS Y,Open,0
BHP,20140828,BATS Y,After-Hours,0
BHP,20140828,BATS Y,Close,0
BHP,20140828,NYSE Arca SM,Regular,359665
BHP,20140828,NYSE Arca SM,Open,200
BHP,20140828,NYSE Arca SM,After-Hours,32174
BHP,20140828,NYSE Arca SM,Close,101
BHP,20140828,FINRA,Regular,711507
BHP,20140828,FINRA,Open,0
BHP,20140828,FINRA,After-Hours,200
BHP,20140828,FINRA,Close,0
BHP,20140828,BATS,Regular,323817
BHP,20140828,BATS,Open,0
BHP,20140828,BATS,After-Hours,1006
BHP,20140828,BATS,Close,0
BHP,20140828,Direct Edge X,Regular,78893
BHP,20140828,Direct Edge X,Open,0
BHP,20140828,Direct Edge X,After-Hours,1883
BHP,20140828,Direct Edge X,Close,0
BHP,20140828,NASDAQ OMX,Regular,271262
BHP,20140828,NASDAQ OMX,Open,71
BHP,20140828,NASDAQ OMX,After-Hours,500
BHP,20140828,NASDAQ OMX,Close,100
BHP,20140828,Direct Edge A,Regular,58083
BHP,20140828,Direct Edge A,Open,0
BHP,20140828,Direct Edge A,After-Hours,0
BHP,20140828,Direct Edge A,Close,0
BHP,20140828,Chicago,Regular,115525
BHP,20140828,Chicago,Open,0
BHP,20140828,Chicago,After-Hours,0
BHP,20140828,Chicago,Close,0
BHP,20140828,NYSE,Regular,506055
BHP,20140828,NYSE,Open,50555
BHP,20140828,NYSE,After-Hours,0
BHP,20140828,NYSE,Close,26045
BHP,20140828,NASDAQ OMX BX,Regular,24332
BHP,20140828,NASDAQ OMX BX,Open,0
BHP,20140828,NASDAQ OMX BX,After-Hours,250
BHP,20140828,NASDAQ OMX BX,Close,0
BHP,20140530,NYSE Arca SM,Regular,209216
BHP,20140530,NYSE Arca SM,Open,100
BHP,20140530,NYSE Arca SM,After-Hours,31240
BHP,20140530,NYSE Arca SM,Close,100
BHP,20140530,FINRA,Regular,820670
BHP,20140530,FINRA,Open,0
BHP,20140530,FINRA,After-Hours,0
BHP,20140530,FINRA,Close,0
BHP,20140530,BATS,Regular,261287
BHP,20140530,BATS,Open,0
BHP,20140530,BATS,After-Hours,400
BHP,20140530,BATS,Close,0
BHP,20140530,Direct Edge X,Regular,165756
BHP,20140530,Direct Edge X,Open,0
BHP,20140530,Direct Edge X,After-Hours,3026
BHP,20140530,Direct Edge X,Close,0
BHP,20140530,NASDAQ OMX,Regular,407262
BHP,20140530,NASDAQ OMX,Open,83
BHP,20140530,NASDAQ OMX,After-Hours,600
BHP,20140530,NASDAQ OMX,Close,28
BHP,20140530,Direct Edge A,Regular,86759
BHP,20140530,Direct Edge A,Open,0
