"","Date","TOD","Exchange","Volume","Proportion"
"1",2014-01-02,"After-Hours","BATS",79857,0.0521925825711008
"2",2014-01-03,"After-Hours","BATS",43750,0.0380402696468211
"3",2014-01-06,"After-Hours","BATS",79852,0.074000074137228
"4",2014-01-07,"After-Hours","BATS",662148,0.223117187168305
"5",2014-01-08,"After-Hours","BATS",113608,0.0872836118119601
"6",2014-01-09,"After-Hours","BATS",85941,0.0943642346802644
"7",2014-01-10,"After-Hours","BATS",40574,0.0236704271924635
"8",2014-01-13,"After-Hours","BATS",31470,0.0373444278838395
"9",2014-01-14,"After-Hours","BATS",81962,0.0611795968485364
"10",2014-01-15,"After-Hours","BATS",1121186,0.101733058630078
"11",2014-01-16,"After-Hours","BATS",188566,0.0666823677852653
"12",2014-01-17,"After-Hours","BATS",33095,0.0304300013424325
"13",2014-01-21,"After-Hours","BATS",81270,0.0850784518171426
"14",2014-01-22,"After-Hours","BATS",40052,0.0554558645975254
"15",2014-01-23,"After-Hours","BATS",24849,0.023416672399349
"16",2014-01-24,"After-Hours","BATS",50761,0.0401544761945444
"17",2014-01-27,"After-Hours","BATS",26922,0.0216357918778585
"18",2014-01-28,"After-Hours","BATS",103800,0.0536790026668846
"19",2014-01-29,"After-Hours","BATS",100638,0.0429210248536609
"20",2014-01-30,"After-Hours","BATS",127354,0.062279449160831
"21",2014-01-31,"After-Hours","BATS",84412,0.06223357274616
"22",2014-02-03,"After-Hours","BATS",44300,0.0381712276831874
"23",2014-02-04,"After-Hours","BATS",82267,0.0586633788685763
"24",2014-02-05,"After-Hours","BATS",39216,0.0420838457526608
"25",2014-02-06,"After-Hours","BATS",46750,0.0600250114914193
"26",2014-02-07,"After-Hours","BATS",103652,0.0743874546345755
"27",2014-02-10,"After-Hours","BATS",65895,0.0744104584551488
"28",2014-02-11,"After-Hours","BATS",60542,0.0716458110951483
"29",2014-02-12,"After-Hours","BATS",42840,0.0839200291486936
"30",2014-02-13,"After-Hours","BATS",89121,0.0931181914878055
"31",2014-02-14,"After-Hours","BATS",32200,0.0617994779671426
"32",2014-02-18,"After-Hours","BATS",21500,0.0488282358926142
"33",2014-02-19,"After-Hours","BATS",27520,0.0273323633257686
"34",2014-02-20,"After-Hours","BATS",45513,0.0598187025283598
"35",2014-02-21,"After-Hours","BATS",41554,0.0749370174872277
"36",2014-02-24,"After-Hours","BATS",15033,0.0312131455243094
"37",2014-02-25,"After-Hours","BATS",29623,0.0587985430871071
"38",2014-02-26,"After-Hours","BATS",25735,0.0657133737631663
"39",2014-02-27,"After-Hours","BATS",35606,0.0631194547114456
"40",2014-02-28,"After-Hours","BATS",74323,0.0915180522907526
"41",2014-03-03,"After-Hours","BATS",98332,0.0656026002999525
"42",2014-03-04,"After-Hours","BATS",58100,0.053388860198375
"43",2014-03-05,"After-Hours","BATS",0,0
"44",2014-03-06,"After-Hours","BATS",125163,0.0830498386618388
"45",2014-03-07,"After-Hours","BATS",184436,0.0910482575116195
"46",2014-03-10,"After-Hours","BATS",56400,0.0759156313515405
"47",2014-03-11,"After-Hours","BATS",43886,0.0646712869565474
"48",2014-03-12,"After-Hours","BATS",37245,0.0563502810327481
"49",2014-03-13,"After-Hours","BATS",41600,0.0558291841692054
"50",2014-03-14,"After-Hours","BATS",48598,0.0657142663971279
"51",2014-03-17,"After-Hours","BATS",34383,0.0608836388169276
"52",2014-03-18,"After-Hours","BATS",49290,0.0754480733877547
"53",2014-03-19,"After-Hours","BATS",10500,0.0217344955423585
"54",2014-03-20,"After-Hours","BATS",55414,0.0306219492854013
"55",2014-03-21,"After-Hours","BATS",207895,0.0841356563265141
"56",2014-03-24,"After-Hours","BATS",90392,0.099093281999055
"57",2014-03-25,"After-Hours","BATS",22437,0.0332257744462001
"58",2014-03-26,"After-Hours","BATS",41141,0.0196649017758686
"59",2014-03-27,"After-Hours","BATS",811756,0.332503463253468
"60",2014-03-28,"After-Hours","BATS",33425,0.0513440860215054
"61",2014-03-31,"After-Hours","BATS",91612,0.109613495530485
"62",2014-04-01,"After-Hours","BATS",36887,0.0691429439032482
"63",2014-04-02,"After-Hours","BATS",31518,0.0730093722926676
"64",2014-04-03,"After-Hours","BATS",59041,0.0780208104829438
"65",2014-04-04,"After-Hours","BATS",85899,0.0786535166955249
"66",2014-04-07,"After-Hours","BATS",104633,0.132299463888327
"67",2014-04-08,"After-Hours","BATS",52130,0.111552642447353
"68",2014-04-09,"After-Hours","BATS",66096,0.0877123603616994
"69",2014-04-10,"After-Hours","BATS",74893,0.105528877315793
"70",2014-04-11,"After-Hours","BATS",221677,0.102100485223371
"71",2014-04-14,"After-Hours","BATS",129496,0.102388938174147
"72",2014-04-15,"After-Hours","BATS",65405,0.0841843367321984
"73",2014-04-16,"After-Hours","BATS",311763,0.0819215000088027
"74",2014-04-17,"After-Hours","BATS",136025,0.136147669049814
"75",2014-04-21,"After-Hours","BATS",33411,0.148691588785047
"76",2014-04-22,"After-Hours","BATS",37458,0.0339449674306656
"77",2014-04-23,"After-Hours","BATS",30471,0.0250969623541447
"78",2014-04-24,"After-Hours","BATS",60520,0.0433047878551966
"79",2014-04-25,"After-Hours","BATS",89901,0.0620620240554976
"80",2014-04-28,"After-Hours","BATS",849122,0.115183446352438
"81",2014-04-29,"After-Hours","BATS",94322,0.0812123737756409
"82",2014-04-30,"After-Hours","BATS",36849,0.0852711743212253
"83",2014-05-01,"After-Hours","BATS",28500,0.0684901878793996
"84",2014-05-02,"After-Hours","BATS",68899,0.0550509368383205
"85",2014-05-05,"After-Hours","BATS",34091,0.0594193148068101
"86",2014-05-06,"After-Hours","BATS",36578,0.0705377787291321
"87",2014-05-07,"After-Hours","BATS",42090,0.0683582171969071
"88",2014-05-08,"After-Hours","BATS",18558,0.0479013786036379
"89",2014-05-09,"After-Hours","BATS",28019,0.0733612266057832
"90",2014-05-12,"After-Hours","BATS",21800,0.0426297469592084
"91",2014-05-13,"After-Hours","BATS",37568,0.0632664540270728
"92",2014-05-14,"After-Hours","BATS",30185,0.101276313052348
"93",2014-05-15,"After-Hours","BATS",34367,0.0678355855055643
"94",2014-05-16,"After-Hours","BATS",52072,0.0829910700767084
"95",2014-05-19,"After-Hours","BATS",120456,0.0850905715583479
"96",2014-05-20,"After-Hours","BATS",32035,0.0768994414078347
